row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
206,2859,KHOK KRUAT,โคกกรวด,2858,MUEANG NAKHON RATCHASIMA,เมืองนครราชสีมา,2857,Nakhon Ratchasima,นครราชสีมา,21.0,15.0,6.0,37.0,30.0,28.0,0.0,0.0,0.0,0.0,87.0,67.0,69.0,92.0,86.0,86.0,baania
102,3524,BANG KAEO,บางแก้ว,3522,BANG PHLI,บางพลี,3498,Samut Prakan,สมุทรปราการ,78.0,80.0,79.0,92.0,98.0,88.0,1.0,98.0,0.0,39.0,98.0,98.0,95.0,99.0,100.0,99.0,baania
441,3681,PHRONG MADUEA,โพรงมะเดื่อ,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,60.0,20.0,38.0,90.0,100.0,73.0,0.0,1.0,0.0,0.0,87.0,100.0,93.0,100.0,100.0,97.0,baania
151,1199,SAN KLANG,สันกลาง,1188,SAN PA TONG,สันป่าตอง,1005,Chiang Mai,เชียงใหม่,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,baania
507,3375,THA SAI,ท่าทราย,3373,MUEANG NONTHABURI,เมืองนนทบุรี,3372,Nonthaburi,นนทบุรี,90.0,96.0,82.0,97.0,97.0,94.0,84.0,100.0,54.0,84.0,100.0,100.0,99.0,100.0,100.0,100.0,baania
3,1217,BAN WAEN,บ้านแหวน,1213,HANG DONG,หางดง,1005,Chiang Mai,เชียงใหม่,1.0,3.0,18.0,3.0,27.0,7.0,0.0,0.0,0.0,0.0,1.0,46.0,89.0,66.0,92.0,56.0,baania
495,3488,TA SIT,ตาสิทธิ์,3486,PLUAK DAENG,ปลวกแดง,3431,Rayong,ระยอง,8.0,16.0,2.0,35.0,26.0,23.0,0.0,0.0,0.0,0.0,64.0,80.0,52.0,84.0,80.0,77.0,baania
386,4649,NA KLUEA,นาเกลือ,4645,BANG LAMUNG,บางละมุง,4616,Chon Buri,ชลบุรี,54.0,56.0,22.0,74.0,55.0,63.0,0.0,0.0,0.0,0.0,92.0,91.0,79.0,94.0,92.0,92.0,baania
614,1184,SAN PHRANET,สันพระเนตร,1175,SAN SAI,สันทราย,1005,Chiang Mai,เชียงใหม่,2.0,3.0,23.0,12.0,42.0,13.0,0.0,0.0,0.0,0.0,49.0,65.0,92.0,60.0,98.0,65.0,baania
242,3982,SAI MAI,สายไหม,3981,SAI MAI,สายไหม,3781,Bangkok,กรุงเทพมหานคร,69.0,97.0,69.0,100.0,99.0,90.0,1.0,83.0,1.0,34.0,97.0,50.0,97.0,84.0,80.0,84.0,baania
509,4706,SATTAHIP,สัตหีบ,4705,SATTAHIP,สัตหีบ,4616,Chon Buri,ชลบุรี,19.0,17.0,10.0,40.0,21.0,29.0,0.0,0.0,0.0,0.0,82.0,74.0,70.0,86.0,80.0,82.0,baania
639,20615,PHRA HANONG TAI,พระโขนงใต้,3913,PHRA KHANONG,พระโขนง,3781,Bangkok,กรุงเทพมหานคร,95.0,98.0,95.0,100.0,100.0,98.0,100.0,98.0,1.0,79.0,100.0,75.0,100.0,97.0,100.0,96.0,baania
