row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,volume_of_rental
1485,2020,10,กรุงเทพมหานคร,BANGKOK,ดินแดง,DIN DAENG,คอนโด,Condo,89
1264,2019,3,กรุงเทพมหานคร,BANGKOK,ประเวศ,PRAWET,คอนโด,Condo,21
1043,2021,2,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,590
643,2020,12,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,249
870,2020,5,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,47
486,2019,2,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,43
954,2021,1,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,56
1384,2021,12,ปทุมธานี,PATHUM THANI,คลองหลวง,KHLONG LUANG,คอนโด,Condo,83
961,2020,4,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,28
859,2019,10,นนทบุรี,NONTHABURI,บางใหญ่,BANG YAI,คอนโด,Condo,11
584,2020,2,กรุงเทพมหานคร,BANGKOK,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,17
587,2021,11,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,376
554,2020,10,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,100
453,2021,5,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,362
214,2020,4,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,43
11,2021,4,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,28
991,2021,11,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,คอนโด,Condo,14
939,2021,1,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คอนโด,Condo,12
471,2021,1,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,495
462,2019,3,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,11
