row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
1822,2020,5,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,โฮมออฟฟิศ,Home office,50,369
2426,2018,11,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,219,674
681,2018,6,กรุงเทพมหานคร,Bangkok,ราชเทวี,RATCHATHEWI,คอนโด,Condo,101,347
2607,2017,7,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,บ้านแฝด,Twin house,79,866
919,2019,9,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,383,2096
1613,2020,3,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,207,1129
1129,2019,11,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,76,630
565,2017,6,นครปฐม,Nakhon Pathom,นครชัยศรี,NAKHON CHAI SI,ทาวน์โฮม,Townhome,69,532
244,2021,4,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,36,228
3395,2017,11,กรุงเทพมหานคร,Bangkok,บางรัก,BANG RAK,อาคารพาณิชย์,Commercial,21,38
798,2020,3,นครปฐม,Nakhon Pathom,พุทธมณฑล,PHUTTHAMONTHON,ทาวน์โฮม,Townhome,86,1281
2011,2017,6,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,313,1012
1329,2016,12,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,ทาวน์โฮม,Townhome,639,7306
2343,2019,7,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,389,1128
118,2021,5,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้านแฝด,Twin house,13,21
2472,2016,9,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,3344,30024
530,2019,5,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,คอนโด,Condo,41,113
82,2017,12,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,ทาวน์โฮม,Townhome,205,2198
2921,2018,12,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,233,2352
